Cycle,Battery-M,M8020-train,M8020-valid,M8020-predict,M5050-train,M5050-valid,M5050-predict,M2080-train,M2080-valid,M2080-predict
152,36.3964,36.3964,,,36.3964,,,36.3964,,
153,36.449,36.449,,,36.449,,,36.449,,
154,36.4714,36.4714,,,36.4714,,,36.4714,,
155,36.4377,36.4377,,,36.4377,,,36.4377,,
156,36.4907,36.4907,,,36.4907,,,36.4907,,
157,36.5004,36.5004,,,36.5004,,,36.5004,,
158,36.5292,36.5292,,,36.5292,,,36.5292,,
159,36.5234,36.5234,,,36.5234,,,36.5234,,
160,36.4856,36.4856,,,36.4856,,,36.4856,,
161,36.4587,36.4587,,,36.4587,,,36.4587,,
162,36.4323,36.4323,,,36.4323,,,36.4323,,
163,36.4457,36.4457,,,36.4457,,,36.4457,,
164,36.4317,36.4317,,,36.4317,,,36.4317,,
165,36.3958,36.3958,,,36.3958,,,36.3958,,
166,36.3627,36.3627,,,36.3627,,,36.3627,,
167,36.3294,36.3294,,,36.3294,,,36.3294,,
168,36.2677,36.2677,,,36.2677,,,36.2677,,
169,36.2547,36.2547,,,36.2547,,,36.2547,,
170,36.2301,36.2301,,,36.2301,,,36.2301,,
171,36.2103,36.2103,,,36.2103,,,36.2103,,
172,36.2093,36.2093,,,36.2093,,,36.2093,,
173,36.2198,36.2198,,,36.2198,,,36.2198,,
174,36.1975,36.1975,,,36.1975,,,36.1975,,
175,36.1593,36.1593,,,36.1593,,,36.1593,,
176,36.1382,36.1382,,,36.1382,,,36.1382,,
177,36.1583,36.1583,,,36.1583,,,36.1583,,
178,36.2141,36.2141,,,36.2141,,,36.2141,,
179,36.2842,36.2842,,,36.2842,,,36.2842,,
180,36.3993,36.3993,,,36.3993,,,36.3993,,
181,36.4167,36.4167,,,36.4167,,,36.4167,,
182,36.5023,36.5023,,,36.5023,,,36.5023,,
183,36.5555,36.5555,,,36.5555,,,36.5555,,
184,36.5545,36.5545,,,36.5545,,,36.5545,,
185,36.5717,36.5717,,,36.5717,,,36.5717,,
186,36.541,36.541,,,36.541,,,36.541,,
187,36.5477,36.5477,,,36.5477,,,36.5477,,
188,36.5816,36.5816,,,36.5816,,,36.5816,,
189,36.6076,36.6076,,,36.6076,,,36.6076,,
190,36.6626,36.6626,,,36.6626,,,36.6626,,
191,36.6931,36.6931,,,36.6931,,,36.6931,,
192,36.7518,36.7518,,,36.7518,,,36.7518,,
193,36.6468,36.6468,,,36.6468,,,36.6468,,
194,36.686,36.686,,,36.686,,,36.686,,
195,36.646,36.646,,,36.646,,,36.646,,
196,36.6734,36.6734,,,36.6734,,,36.6734,,
197,36.6803,36.6803,,,36.6803,,,36.6803,,
198,36.6727,36.6727,,,36.6727,,,36.6727,,
199,36.6881,36.6881,,,36.6881,,,36.6881,,
200,36.6796,36.6796,,,36.6796,,,36.6796,,
201,36.6334,36.6334,,,36.6334,,,36.6334,,
202,36.6196,36.6196,,,36.6196,,,36.6196,,
203,36.5598,36.5598,,,36.5598,,,36.5598,,
204,36.5151,36.5151,,,36.5151,,,36.5151,,
205,36.4441,36.4441,,,36.4441,,,36.4441,,
206,36.36,36.36,,,36.36,,,36.36,,
207,36.311,36.311,,,36.311,,,36.311,,
208,36.3175,36.3175,,,36.3175,,,36.3175,,
209,36.2766,36.2766,,,36.2766,,,36.2766,,
210,36.2737,36.2737,,,36.2737,,,36.2737,,
211,36.3173,36.3173,,,36.3173,,,36.3173,,
212,36.3652,36.3652,,,36.3652,,,36.3652,,
213,36.4748,36.4748,,,36.4748,,,36.4748,,
214,36.5672,36.5672,,,36.5672,,,36.5672,,
215,36.6609,36.6609,,,36.6609,,,36.6609,,
216,36.6803,36.6803,,,36.6803,,,36.6803,,
217,36.6976,36.6976,,,36.6976,,,36.6976,,
